Date,Fajr,Sunrise,Dhuhr,Asar,Maghrib,Isha
Sun 1 Nov 2026,05:30,07:04,11:54,14:16,16:43,18:17
Mon 2 Nov 2026,05:31,07:05,11:54,14:15,16:42,18:16
Tue 3 Nov 2026,05:33,07:07,11:54,14:13,16:40,18:14
Wed 4 Nov 2026,05:34,07:09,11:54,14:12,16:38,18:13
Thu 5 Nov 2026,05:36,07:11,11:54,14:11,16:36,18:11
Fri 6 Nov 2026,05:37,07:12,11:54,14:09,16:35,18:10
Sat 7 Nov 2026,05:39,07:14,11:54,14:08,16:33,18:08
Sun 8 Nov 2026,05:40,07:16,11:54,14:07,16:31,18:07
Mon 9 Nov 2026,05:42,07:18,11:54,14:06,16:30,18:06
Tue 10 Nov 2026,05:43,07:19,11:54,14:04,16:28,18:04
Wed 11 Nov 2026,05:45,07:21,11:54,14:03,16:27,18:03
Thu 12 Nov 2026,05:46,07:23,11:54,14:02,16:25,18:02
Fri 13 Nov 2026,05:48,07:25,11:55,14:01,16:24,18:01
Sat 14 Nov 2026,05:49,07:26,11:55,14:00,16:22,18:00
Sun 15 Nov 2026,05:51,07:28,11:55,13:59,16:21,17:59
Mon 16 Nov 2026,05:52,07:30,11:55,13:58,16:20,17:57
Tue 17 Nov 2026,05:53,07:31,11:55,13:57,16:18,17:56
Wed 18 Nov 2026,05:55,07:33,11:55,13:56,16:17,17:55
Thu 19 Nov 2026,05:56,07:35,11:56,13:55,16:16,17:54
Fri 20 Nov 2026,05:58,07:36,11:56,13:54,16:15,17:54
Sat 21 Nov 2026,05:59,07:38,11:56,13:53,16:14,17:53
Sun 22 Nov 2026,06:00,07:40,11:56,13:52,16:13,17:52
Mon 23 Nov 2026,06:02,07:41,11:57,13:52,16:12,17:51
Tue 24 Nov 2026,06:03,07:43,11:57,13:51,16:11,17:50
Wed 25 Nov 2026,06:04,07:44,11:57,13:50,16:10,17:50
Thu 26 Nov 2026,06:06,07:46,11:58,13:49,16:09,17:49
Fri 27 Nov 2026,06:07,07:47,11:58,13:49,16:08,17:48
Sat 28 Nov 2026,06:08,07:49,11:58,13:48,16:07,17:48
Sun 29 Nov 2026,06:09,07:50,11:59,13:48,16:06,17:47
Mon 30 Nov 2026,06:11,07:52,11:59,13:47,16:06,17:47
